岗位名词,岗位类别,招聘人数,经验要求,学历要求,平均月薪（万）,薪资下限（万/月）,薪资上限（万/月）,岗位描述,城市,区,招聘单位,单位类别,企业规模,所属行业,备注一,备注二
体系认证专工程师（ESG）,全职,1,3-5年,本科,1.15,0.8,1.5,"职位描述ISO管理体系认证食品安全管理体系职业健康体系环境管理体系ISO9001内审员ESG1、跟踪国际和国内ESG和节能减排相关趋势和信息，重点了解铝塑复合包装回收、废铝回收、碳税等专项的内容，协助制定公司可持续发展战略和重点工作事项规划；
2、主导推进ISO14064、ISO14067、LCA全生命周期碳排报告、ASI认证、SBTi科学碳目标设定、CDP评级、利乐Sedex、可持续发展报告撰写等工作；
3、对接国内外供应商和客户提供相关解决方案和沟通相关工作进展，打造公司绿色营销优势。
任职要求：
1、本科以上学历，环境/社会/能源/可持续发展相关专业背景，有海外留学背景者优先；
2、一年以上工作经验，了解相关认证和标准，报告撰写能力强，有相关工作或咨询机构工作经验者优先；
3、要求有营销意识并了解相关方法论，有客户服务意识，学习能力和团队合作意识强，具备英文沟通和写作能力优先。",长沙,望城,晟通集团,民营,1000-9999人,新材料,食品安全管理体系,职业健康体系
企业ESG合作经理 驻长沙\上海,全职,1,3-5年,本科,0.65,0.5,0.8,"职位描述社团/组织/社会保障岗位职责：
1、研究企业ESG发展趋势，识别潜在合作机会，拓展并维护与企业ESG部门的合作关系。
2、根据企业ESG战略和机构使命，设计并执行符合双方需求的公益项目，包括但不限于环境保护、社会责任、公司治理等领域。
3、整合机构内外资源，搭建企业ESG合作平台，促进企业、机构和其他利益相关方之间的交流与合作。
4、负责机构ESG合作品牌的建设和传播，提升机构在企业ESG领域的影响力。
5、收集、整理和分析企业ESG合作相关数据，撰写项目报告和案例分析，为机构决策提供支持。
 
任职要求：
1、本科及以上学历，环境科学、社会学、工商管理、公共关系等相关专业优先。
2、3年以上企业社会责任（CSR）、可持续发展、ESG等相关工作经验，有公益行业经验者优先。
4、深入了解ESG理念和实践，熟悉国内外ESG相关政策和标准。
5、出色的沟通协调能力和人际交往能力，能够与不同层级的合作伙伴建立良好关系。
6、优秀的项目管理和执行能力，能够高效推进项目落地。
7、认同公益理念，具有社会责任感和使命感。
8、积极主动，具备良好的抗压能力和解决问题的能力。
岗位福利待遇：
1. 具体待遇根据申请者经验能力提供具有行业竞争力的薪酬水平；
2. 基金会和伙伴机构提供的专业理论、技术培训及岗位资深从业者的传授与督导；
3. 餐补、话补、交通补、节日福利等；
4. 五险一金，补充商业保险和免费体检，所有法定假期及加班调休；
5. 工作满一年带薪年假5天。春节假期15天。
6. 拥有自己的小厨房，有厨艺棒棒的阿姨每天中午做中餐。",长沙,岳麓,长沙绿色潇湘环保科普中心,社会团体,20人以下,环保,,
esg主管,全职,1,1-3年,本科,1.1875,1,1.375,"职位描述新能源化工环保岗位职责：
1、统筹推进OECD五步法供应链尽职调查体系建设，供应链负责任采购相关工作经验；
2、熟悉ISO14064、ISO4067体系；
2、负责追踪和内部宣贯国际、国内ESG政策；
4、负责与公司客户对接可持续发展相关现场审核及表格对接；
5、负责建立ESG管理体系，碳排放管理体系；
6、协助开展ESG相关活动。
任职要求：
1、本科以上学历，具有2-3年相关领域工作经验；
2、具备快速学习的能力，保持好奇和探索的热情；
3、具备沟通意识和良好的沟通能力，拥有敏捷的应变能力；
4、能接受出差。",湘潭,雨湖区,湖南裕能新能源电池材料股份有限公司,上市公司,1000-9999人,新能源,,
ESG咨询顾问（售前）,全职,1,1-3年,学历不限,1.9,1.3,2.5,"职位描述企业咨询项目可持续发展顾问B端客户大客户（KA）咨询经验ESG评级ESG披露咨询服务一、岗位职责：
 负责帮助客户制定和完善公司的ESG战略和政策，确保公司业务符合ESG标准。 帮助客户评估评估公司在环境、社会和治理方面的表现，提出改进建议，推动公司可持续发展。 跟踪和研究ESG领域的最新动态和趋势，为客户提供决策支持。 协调和指导客户各部门的ESG相关工作，确保各项政策得到有效执行。 指导的ESG报告编制工作，确保报告内容的准确性和完整性。
二、任职要求：
 本科及以上学历，环境科学、社会学、企业管理等相关专业优先。 具有3年以上ESG相关领域的工作经验，熟悉ESG标准和实践。 具备较强的战略规划和政策制定能力，能够独立思考和解决问题。 具有良好的沟通能力和团队协作能力，能够与不同利益相关者有效沟通。 具备较强的学习能力和研究能力，能够持续关注ESG领域的最新动态。 具有良好的英语听说读写能力，能够进行国际交流。
三、加分项：
 持有ESG相关的专业认证或资质。 具有跨国公司或国际组织的ESG工作经验。 在ESG领域发表过学术论文或参与过相关项目。",长沙,长沙,湖南小格数智科技有限公司,民营,20-99人,计算机软件,可持续发展顾问,B端客户
技术工程师,全职,1,3-5年,本科,1,0.8,1.2,"职位描述ESG标准化绿色低碳岗位职责
1、负责公司ESG/标准化/绿色低碳等项目的整体规划、技术实施、总结验收；
2、负责ESG/标准化/绿色低碳业务市场信息收集，渠道维护；
3、负责完成ESG/标准化/绿色低碳等业务领域的相关技术服务实施；
4、完成领导交办的其他事项。
任职要求
1、45岁以下，本科及以上学历，理工科专业，能源、环境、生态学类相关专业背景优先；
2、熟悉ESG/标准化/绿色低碳相关的政策、标准和评估工具，具备良好的数据分析和报告撰写能力；
3、优秀的沟通协调能力和团队合作精神，能够跨部门、跨领域合作；
4、善于学习新行业新领域知识，具有ESG/标准化/碳核查/碳排放管理/碳资产开发等项目实施经验者优先；
5、抗压能力强，能吃苦耐劳，有驾照及驾驶经验。",长沙,雨花,中国检验认证集团湖南有限公司,国企,100-299人,检测/认证,标准化,绿色低碳
ESG工程师,全职,1,1-3年,本科,1.05,0.816666667,1.283333333,"职位描述职业健康管理安全管理新能源化工环保岗位职责：
1、统筹推进OECD五步法供应链尽职调查体系建设，供应链负责任采购相关工作经验；
2、熟悉ISO14064、ISO4067体系；
3、负责追踪和内部宣贯国际、国内ESG政策；
4、负责与公司客户对接可持续发展相关现场审核及表格对接；
5、负责建立ESG管理体系，碳排放管理体系；
6、协助开展ESG相关活动。
任职要求：
1、本科学历，具有2-3年相关领域工作经验；
2、具备快速学习的能力，保持好奇和探索的热情；
3、具备沟通意识和良好的沟通能力，拥有敏捷的应变能力；
4、接受出差。",湘潭,雨湖区,湖南裕能新能源电池材料股份有限公司,上市公司,1000-9999人,新能源,安全管理,
信贷分析师（ESG方向）,全职,1,1-3年,本科,1.5,1,2,"职位描述银行岗位职责:
The primary responsibility of this role involves assisting in the transition risk assessment of Wholesale counterparties globally. This role also includes conducting research and investigations pertaining to the Group's emissions reporting and policy disclosures across various sectors.
Principal Accountabilities and Responsibilities:
1. Risk assessment of the carbon footprint of the Wholesale lending portfolio, identifying physical and transitional risks. 
2. Analyze counterparty information for climate-related risk assessments, including emissions reduction plans, physical risks, maturity of transition plans, and transition plan evaluations. 
3. Perform thorough research and analysis on Wholesale counterparties' data and trends, focusing on greenhouse gas emissions accounting, Net Zero strategies, and Climate Change Risk Management. 
4. Analysis and validation of industry/sub-sector of the Wholesale portfolio as part of the Climate Aligned Finance sectoral value chain along with assurance support for ARA reporting.
5. Analysis and investigation of Wholesale portfolio exposure for the Thermal Coal Phase Out Policy (TCPOP) applicability (both lending & capital market transactions) and exposure weighting calculations for eligible counterparties, along with assurance support for ARA reporting. 
6. Analysis and investigation of Wholesale counterparties for policy screening / eligibility across multiple sectors as part of the client onboarding & renewal process. 
7. Collaborate with Regional Sustainability Champions to drive various activities as part of the Group's transition to Net Zero.
8. Collaborate with a global team across multiple locations to promote best practices and ensure high-quality deliverables. 
 
任职要求:
1. Master's degree in a relevant field or equivalent.
2. Degree/Certification in ESG/Climate Change/Sustainability would be an added advantage.
3. Ability to engage and influence a wide range of stakeholders.
4. Good understanding of ESG and Climate Risk - Understanding ESG policies and their implementation using annual reports, CSR/Sustainability reports and other company filings.
5. Preference for candidates with relevant experience working in ESG data reporting, climate change research & analysis and risk assessment.
6. Excellent Verbal and Written Communication skills.
7. Analytical Thinking, Problem Solving and can-do attitude.
8. Proficiency in MS Office applications, especially in MS Excel and Power Point.
福利待遇
- 具竞争力的薪酬：基本工资+绩效奖金+轮班补贴+早晚班交通津贴.
- 健全福利保障：五险一金+补充性商业医疗保险+免费年度体检.
- 畅享10+天假期：除享有国家法定节假日外，还拥有至少10天带薪年假、12天带薪病假、1天生日假、婚假、产检假、产假以及陪产假、哺乳假等，助您达到工作生活的平衡.
- 弹性福利制度：年假可买卖，商业医疗保险套餐可升级，您还可申请旅游补贴、个人进修补助、运动健身补贴等，满足个性化福利需求.
- 人性化工作环境：使用公司的员工餐厅、咖啡室、休息室、娱乐室等，进行劳逸结合.
- 多元化员工活动：运动会、团建、年会等精彩活动给您平台，任您施展才华.
培训与发展
- 广阔的职业发展平台：遍及全球的集团网络，提供扩展人脉及跨文化交流的机会，您还可申请不同国家及地区的长短期职位，不断挑战自我.
- 系统性人才培育及发展：配备职业导师，为您提供清晰的职业规划指导，充分挖掘横向及纵向的发展潜力.
- 完善的专业培训体系：入职即可享带薪培训，多元化的培训机会，还有资源及教育援助，帮您逐步实现职业目标.",广州,天河,汇丰环球,外商独资,10000人以上,银行,,
分析师-ESG数据与模型方向-深圳,全职,1,1-3年,硕士,1.55,1.1,2,"职位描述ESG量化模型产品经理数据处理岗位职责：
1、负责和参与公司ESG评级模型研究和开发工作；
2、负责ESG模型建设中的ESG数据清洗、统计分析与验证工作；
3、负责公司ESG数据库的建设与维护，以及客户数据需求的对接和服务工作；
4、负责公司ESG相关研究报告的分析和撰写； 
5、负责其他ESG相关产品研究及领导分配的工作。
任职要求：
1、国内外知名院校毕业，硕士研究生及以上学历，金融工程、计算机应用、统计学或其他数据分析模型相关专业或经验； 
2、具有ESG领域工作经验，对国内外ESG标准、ESG评级方法（如MSCI、标普、晨星等）具有较为深入的了解；
3、具有极强的学习能力、研究分析能力和创新能力，严谨的逻辑思维能力和良好的沟通能力，能够承受高强度工作，工作态度积极且富有责任心；
4、熟悉建模及数据统计分析工具的应用，不限于熟练掌握Python等编程语言、熟悉SQL使用以及SAS、MATLAB、State等工具使用；
5、有金融从业背景和数据建模相关工作经验者优先；具有ESG评级及提升相关经验优先；有财务背景工作经验优先。",深圳,南山,中诚信国际信用评级有限责任公司,合资,500-999人,证券/期货,量化模型,产品经理
ESG咨询师,全职,3,1-3年,硕士,2.4,1.8,3,"职位描述ESG咨询服务  
岗位职责：
  
1.撰写ESG报告，帮助企业完成信息披露：基于国内外主流ESG框架（如ISSB），协助企业完成高质量的信息披露，确保数据的完整性和一致性，同时满足监管及投资者的合规性需求。
  
2.提供定制化ESG咨询服务：结合企业实际运营需求，提供全面的ESG咨询服务，包括优化公司治理结构、识别并量化关键风险与机遇、设计和实施风险管理体系，以及开发可持续发展策略以推动长期价值创造。
  
3.评估ESG活动的财务影响：能够运用财务分析工具和会计知识，有意识量化ESG活动对企业盈利能力、财务成本及长期财务健康的影响，提出基于数据驱动的优化建议，为企业制定具有可操作性的实施方案。
  
4.参与业务拓展并推动项目落地：支持团队在ESG业务领域的市场拓展，能够建立和维护客户关系，通过专业化的方案设计和沟通推动项目的高效执行与成果交付。
  
5.客户沟通与项目汇报：作为客户信任的业务伙伴，参与项目的各阶段沟通与汇报，确保信息传递的准确性和方案实施的透明度，同时就项目成果进行专业解读，为客户提供可操作的后续建议。
  
  
任职要求：
  
  
1.教育背景：有良好的专业背景，会计、金融、经济学、工商管理或相关专业优先，硕士以上学历。
  
2.工作经验：1-3年相关领域经验。
  
  
专业能力：
  
1.具备扎实的财务与会计基础知识，能够结合企业实际需求，探索并搭建相关方法论框架，推动ESG与企业实践的深度融合；具备量化ESG策略对企业运营与绩效潜在影响的意识，并能够为管理层提供前瞻性建议。
  
2.深入了解主流ESG框架与标准，能够熟练应用于企业实践；具备敏锐的行业洞察力，能够及时追踪并解读国际与国内ESG政策、标准更新及行业最佳实践。
  
3.优秀的英语沟通能力，能够作为工作语言使用
  
  
其他要求：
  
  
1.优秀的沟通与协调能力，能有效与多方合作。
  
2.熟练使用Microsoft Office套件，具备文件与项目管理能力。
  
  
薪酬福利：
  
  
1.创新性平台：作为一家专注于ESG发展的创新性平台，致力于推动行业变革与可持续发展，员工将有机会参与前沿项目，塑造行业未来。
  
2.多元包容的文化：秉承多样性、公平性和包容性（DEI）原则，尊重每位员工的独特价值，为团队营造多元协作、创新互助的工作氛围。
  
3.工作与生活的平衡：提供灵活的办公政策，包括远程办公和弹性工作时间，支持员工在高效工作的同时，兼顾个人生活与健康。
  
4.薪资福利：提供具有竞争力的薪资待遇，具体面议；提供五险一金，为员工提供可靠的保障。",深圳,南山,北方亚事资产评估有限责任公司,民营,100-299人,专业技术服务,,
信贷分析师（ESG方向）,全职,1,1-3年,本科,1,0.8,1.2,"职位描述投资/融资银行岗位职责:
The primary responsibility of this role involves assisting in the transition risk assessment of Wholesale counterparties globally. This role also includes conducting research and investigations pertaining to the Group's emissions reporting and policy disclosures across various sectors.
Principal Accountabilities and Responsibilities:
1. Risk assessment of the carbon footprint of the Wholesale lending portfolio, identifying physical and transitional risks. 
2. Analyze counterparty information for climate-related risk assessments, including emissions reduction plans, physical risks, maturity of transition plans, and transition plan evaluations. 
3. Perform thorough research and analysis on Wholesale counterparties' data and trends, focusing on greenhouse gas emissions accounting, Net Zero strategies, and Climate Change Risk Management. 
4. Analysis and validation of industry/sub-sector of the Wholesale portfolio as part of the Climate Aligned Finance sectoral value chain along with assurance support for ARA reporting.
5. Analysis and investigation of Wholesale portfolio exposure for the Thermal Coal Phase Out Policy (TCPOP) applicability (both lending & capital market transactions) and exposure weighting calculations for eligible counterparties, along with assurance support for ARA reporting. 
6. Analysis and investigation of Wholesale counterparties for policy screening / eligibility across multiple sectors as part of the client onboarding & renewal process. 
7. Collaborate with Regional Sustainability Champions to drive various activities as part of the Group's transition to Net Zero.
8. Collaborate with a global team across multiple locations to promote best practices and ensure high-quality deliverables. 
 
任职要求:
1. Master's degree in a relevant field or equivalent.
2. Degree/Certification in ESG/Climate Change/Sustainability would be an added advantage.
3. Ability to engage and influence a wide range of stakeholders.
4. Good understanding of ESG and Climate Risk - Understanding ESG policies and their implementation using annual reports, CSR/Sustainability reports and other company filings.
5. Preference for candidates with relevant experience working in ESG data reporting, climate change research & analysis and risk assessment.
6. Excellent Verbal and Written Communication skills.
7. Analytical Thinking, Problem Solving and can-do attitude.
8. Proficiency in MS Office applications, especially in MS Excel and Power Point.
9. For those who are particularly outstanding, the above conditions can be relaxed appropriately.
福利待遇
- 具竞争力的薪酬：基本工资+绩效奖金+轮班补贴+早晚班交通津贴.
- 健全福利保障：五险一金+补充性商业医疗保险+免费年度体检.
- 畅享10+天假期：除享有国家法定节假日外，还拥有至少10天带薪年假、12天带薪病假、1天生日假、婚假、产检假、产假以及陪产假、哺乳假等，助您达到工作生活的平衡.
- 弹性福利制度：年假可买卖，商业医疗保险套餐可升级，您还可申请旅游补贴、个人进修补助、运动健身补贴等，满足个性化福利需求.
- 人性化工作环境：使用公司的员工餐厅、咖啡室、休息室、娱乐室等，进行劳逸结合.
- 多元化员工活动：运动会、团建、年会等精彩活动给您平台，任您施展才华.
培训与发展
- 广阔的职业发展平台：遍及全球的集团网络，提供扩展人脉及跨文化交流的机会，您还可申请不同国家及地区的长短期职位，不断挑战自我.
- 系统性人才培育及发展：配备职业导师，为您提供清晰的职业规划指导，充分挖掘横向及纵向的发展潜力.
- 完善的专业培训体系：入职即可享带薪培训，多元化的培训机会，还有资源及教育援助，帮您逐步实现职业目标.",广州,天河,汇丰环球,外商独资,10000人以上,银行,,
内审ESG专员,全职,1,5-10年,本科,0.5,0.4,0.6,"职位描述内部审计ESG工作职责：
1、参与集团内控体系搭建。参与建立及优化内控相关的管理制度和规章。实现加强内控、降本增效以及提高收益；
2、协助内控总监对子公司以及具有重大影响的参股公司的内部控制(「内控」)完整性、合理性及其实施的有效性进行审阅和评估； 
3、负责对被审计方进行穿行测试及关键控制测。在审计过程中发现的重大缺陷/风险，提出有效和实际的建议措施以加强内控流程及管理制度； 
4、协助撰写内审报告及相关汇报文件；
5、参与年度环境、社会和企业管治(「ESG」)报告的相关工作；
6、协助研究并整理ESG领域的国家政策及相关法律法规要求。持续跟踪国内外ESG相关信息、行业动向及研究进展，进行系统性收录和整理； 
7、协助专业工作坊的相关教务工作、宣讲、与产业学院/企业对接;
8、协助内控总监起草内控报告、ESG报告、教学材料和/或业务发展PPT报告、业务合同/协议等;
9、完成领导交办的其它工作。 
任职要求： 
1、本科以上学历，中级职称； 
2、财经类相关专业； 
3、5年以上财务工作经验 ； 
4、具备财务、税务、审计方面的相关知识； 
5、性格稳重、踏实；较强的人际沟通与协调能力； 
6、具有独立思考能力、执行能力强、及良好的职业操守； 
7、熟练使用金蝶等财务软件和PPT、EXCEL等办公软件操作(尤其是PPT)； 
8、工作仔细认真、有较强的自我约束力和责任心、具备良好的职业。操守。",广州,增城,華商科技教育集團有限公司,民营,1000-9999人,培训/辅导服务,ESG,
行业研究员（ESG方向）,全职,1,3-5年,硕士,1.75,1.2,2.3,"职位描述咨询公司/智库英语可作为工作语言战略分析经验二级市场研究经验企业服务咨询服务专业技术服务新能源职责描述:
1、负责ESG领域（环境、社会、公司治理）政策研究、行业趋势分析及评级体系研究；
2、撰写ESG研究报告，为企业制定可持续发展战略提供数据支持；
3、跟踪国内外ESG相关法律法规、标准框架（如GRI、SASB、TCFD等）； 
4、建立ESG数据库，完成碳排放、社会责任等指标的数据采集与分析；
5、参与企业ESG信息披露报告编制及评级提升项目；
6、持续跟踪国际前沿ESG研究动态与最佳实践案例。
任职要求:
1、硕士及以上学历，环境科学、金融学、经济学、公共政策等相关专业；
2、3年以上ESG研究、可持续发展咨询或绿色金融领域工作经验；
3、深度掌握主流ESG评级体系（MSCI、标普、晨星等）及数据分析方法，了熟知ESG披露要求；
4、具备独立完成ESG研究报告能力，熟练使用Python/Excel/SPSS等数据分析工具；
5、具备敏锐的政策解读能力与行业洞察力，能适应高强度研究工作，具备创新思维。
 
其他说明：
全球领先的新经济行业第三方数据挖掘和分析机构iiMedia Research（艾媒咨询），欢迎优秀应届毕业生加入，助您获得快速成长机会！ 
1、薪酬福利：五险一金，项目奖金，优秀员工奖，带薪年假，全勤奖。
2、发展方向：艾媒研究院高级分析师、咨询顾问、研究项目总监、首席分析师，副院长。
3、工作时间：地铁口写字楼、周一到周五，每天8小时（9:00-18:30，午休1.5小时），周末双休。",广州,番禺,广州艾媒数聚信息咨询股份有限公司,股份制企业,100-299人,咨询服务,英语可作为工作语言,战略分析经验
ESG分析师（应届生）,全职,5,1年以下,硕士,0.8,0.7,0.9,"职位描述ESG低碳绿色金融任职要求：
1.工作经验不限，应届生亦可。
2.硕士及以上学历，环境、金融相关专业背景优先；
3.熟悉ESG相关政策、主流标准和评级，或有ESG报告编制相关咨询工作经验者优先；
4.具有良好的逻辑分析、数据处理和团队沟通协作能力；
5.工作热情高、责任心强，勇于承受工作压力。
岗位职责：
1. 跟踪国内外ESG政策和行业动向，参与ESG相关课题研究；
2.参与公司ESG数据库建设及相关产品研发；
3.参与ESG咨询项目的实施，例如ESG报告编制、审验、评级及管理咨询等；
4.完成公司安排的其他相关工作。",广州,天河,联合赤道环境评价股份有限公司,民营,300-499人,环保,低碳,绿色金融
內控ESG副经理,全职,1,5-10年,本科,1.05,0.7,1.4,"职位描述内部审计ESG工作职责：
1、在内控总监的领导下，组织开展财务相关工作;。
2、参与年度内部控制(「内控」) 及环境、社会和企业管治(「ESG」)报告的相关工作；
3、参与有关世界银行贷款的相关监督工作，以及后续ESG领域的合作;
4、参与相关产业学院辖下设立的专业服务工作坊（如ESG、内审、审计、评估、信用管理等）的课程建设和规划，并作为其中一名行业导师指导工作坊学生。
5、协助推进专业工作坊的相关工作，包括教学、宣讲、项目监督、业务发展、企业对接;
6、协助内控总监审阅经营分析报告、内控报告、ESG报告、教学材料和/或业务发展PPT报告、业务合同/协议等;
7、确保相关报告、资料的真实完整性和财务数据的及时准确性；保障业务流程的及时、准确、真实、完整；及时提供各类财务/内控/ESG相关数据、报表、相关资料，按时上报相关报告/PPT等，并提出合理化建议。
8、协助内控总监统筹相关活动、培训及撰写文件资料等。
9、完成领导交办的其它工作。 
任职要求： 
1、本科以上学历，中级职称； 
2、财经类相关专业； 
3、5年以上财务工作经验 ； 
4、具备财务、税务、审计方面的相关知识； 
5、性格稳重、踏实；较强的人际沟通与协调能力； 
6、具有独立思考能力、执行能力强、及良好的职业操守； 
7、熟练使用金蝶等财务软件和PPT、EXCEL等办公软件操作(尤其是PPT)； 
8、工作仔细认真、有较强的自我约束力和责任心、具备良好的职业。操守。",广州,增城,華商科技教育集團有限公司,民营,1000-9999人,培训/辅导服务,ESG,
ESG咨询实习生-广州,实习,1,1年以下,本科,0.297,0.264,0.33,"职位描述实习证明ESG可持续发展低碳岗位职责：  - ESG项目咨询：包括数据处理与整合，案头研究，材料整理与校对等；  - ESG研究：支持团队的ESG研究工作，包括收集资料、分析数据、内容撰写等； - 支持团队负责人布置的其他事务性工作。  
  
  岗位要求：  - 本科或研究生在读，专业不限，熟悉ESG/低碳议题优先；  - 每周出勤3天及以上，持续至少3个月以上，须线下；  - 熟练使用Word & Excel & PowerPoint；  - 较强的英文读写能力；  - 耐心细致、具备良好的沟通、逻辑分析与抗压能力。",广州,天河,北京商道纵横信息科技有限责任公司,股份制企业,100-299人,咨询服务,可持续发展,低碳
大湾区市场经理-绿色金融ESG方向,全职,3,1-3年,本科,1.45,1.1,1.8,"职位描述绿色金融ESG上市公司服务岗位职责： 
1.负责大湾区上市公司、企业、金融机构和地方政府的绿色金融业务和ESG业务的拓展; 
2.负责客户的商业洽谈; 
3.负责标书及服务方案的制作; 
4.完成领导分配的其他任务。 
任职要求： 
1.有一定文字基础，逻辑分析和研究能力强； 
2.思维清晰，条理性强，能够主动的学习新技术，具备较强的创新能力； 
3.能够承受较强的工作压力； 
4.有绿色金融、ESG、上市公司、评级机构、证券公司、银行投行部、保险资管及银行理财、责任投资等市场工作经验优先。",深圳,南山,中诚信国际信用评级有限责任公司,合资,500-999人,证券/期货,,
esg咨询(500强制造业-海外-英语),全职,1,1-3年,本科,2.5,2,3,"职位描述ESG可持续发展咨询服务专业技术服务1、ESG主任-无管理职能：税后26w左右，1年半工作经验即可
2、ESG主任-有管理职能：税后35w,3年以上工作经验
1． 岗位描述：
(1) 在ESG与可持续发展委员会领导下，与ESG团队共同推动落实ESG战略目标及重大决策。
(2) 协助部门领导，推进ESG可持续发展体系建设，建立健全制度化、规范化、科学化的ESG管理体系、管理程序及管理流程，针对重点领域制定专项ESG管理规定。
(3) 策划ESG议题实践活动，对接第三方评级机构或咨询公司开展ESG相关议题的对外合作项目，对内给予ESG团队成员提供专业咨询、培训和指导支持。
(4) 结合ESG国际评价标准，对标第三方国际评级机构要求，持续关注法律法规变化情况和内部环境的变化，对ESG合规管理体系的有效性进行分析及可能出现的风险问题提出预警，制定整改计划，采取应对措施和跟踪整改措施落实情况，不断提升ESG绩效水平。
(5) 负责基金会的日常管理工作，推进园区基金会制度化、流程化、体系化建设。
(6) 负责年度公益项目的规划、组织、实施、评估等项目管理和运营。
(7) 负责相关大型公益项目活动方案或各类活动设计与实施相关工作。
(8) 对标先进公益基金会实践，促成与国际机构、非政府组织等专业机构合作公益项目。
(9) 上级领导安排的其他临时事项。
2． 任职资格：
(1) 管理类、环境工程类、法律类相关专业，本科及以上学历，具备相关ESG职业证书。
(2) 2年以上大中型制造企业ESG可持续发展相关领域建设或公益基金会相关管理工作经验，有ESG咨询公司从业经验者或基金会秘书长经验优先。
(3) 逻辑严谨，条理清晰，具备良好的分析解决问题能力、团队合作精神和职业操守。
(4) 具有良好的表达和写作能力，具有英文报告写作经验优先，英语或印尼语可作为工作语言尤佳。",深圳,南山,南方新华,其它,100-299人,人力资源服务,可持续发展,
ESG助理咨询顾问-广州,全职,1,1年以下,本科,0.9,0.8,1,"职位描述ESG/CSR咨询可持续发展 
岗位职责：
 
1. 协助项目负责人完成企业社会责任相关的咨询项目的规划、管理、执行、评估、报告撰写、资源对接等工作；
 
2. 参与咨询项目的实施，如实地调研、访谈等；
 
3. 为项目设计传播方案及相关文案，帮助企业社会责任影响力提升；
 
4. 参与客户的日常工作沟通，撰写会议纪要；
 
5. 参与客户日常项目管理，确保项目按照预期目标开展；
 
6. 完成客户委托的各项工作。
 
 
岗位要求：
 
1、本科学历或以上，环境/金融/经济/管理等相关专业优先；
 
2、有ESG/环境管理/可持续发展/企业社会责任咨询工作经验优先；
 
3、较强的逻辑分析、信息处理和数据分析能力；
 
4、较强的快速学习能力与工作主动性；
 
5、较强的中英文写作能力与表达能力；
 
6、良好的团队沟通与合作能力；
 
7、工作严谨、细致，能适应多任务并行，接受出差；
 
8、熟练使用 Word/Excel/Power Point 等办公软件。
 
职位福利：弹性工作、五险一金、带薪年假、定期体检、补充医疗保险、周末双休、绩效奖金、年度调薪 
 
职位亮点：资深企业社会责任咨询公司",广州,天河,北京商道纵横信息科技有限责任公司,股份制企业,100-299人,咨询服务,可持续发展,
ESG分析师,全职,5,1年以下,硕士,1.05,0.8,1.3,"职位描述ESG低碳绿色金融任职要求：
1.工作经验不限，应届生亦可。
2.硕士及以上学历，环境、金融相关专业背景优先；
3.熟悉ESG相关政策、主流标准和评级，或有ESG报告编制相关咨询工作经验者优先；
4.具有良好的逻辑分析、数据处理和团队沟通协作能力；
5.工作热情高、责任心强，勇于承受工作压力。
岗位职责：
1. 跟踪国内外ESG政策和行业动向，参与ESG相关课题研究；
2.参与公司ESG数据库建设及相关产品研发；
3.参与ESG咨询项目的实施，例如ESG报告编制、审验、评级及管理咨询等；
4.完成公司安排的其他相关工作。",广州,天河,联合赤道环境评价股份有限公司,民营,300-499人,环保,低碳,绿色金融
区域总监（ESG和应对气候变化方向）,全职,1,3-5年,本科,1.75,1.5,2,"职位描述渠道销售企业客户环保岗位职责
1、负责可持续发展服务(包括但不限于ESG报告、碳管理咨询、战略规划与管理提升CDP或EV问卷填报、绿色金融服务)销售管理工作，完成团队销售任务；
2、开发新客户，挖掘并分析客户需求，在团队技术支持下为客户提供标准化或定制化的服务方案；
3、负责外部资源包括政府、协会、NGO组织、智库机构等开发和对接，并在团队技术支持下开展合作活动直至落地；
4、跟踪双碳相关政策导向，收集市场动态和业内信息，掌握区城市场机会，深人挖掘客户需求向公司提供准确的市场信息，以支持产品研发和选代更新；
5、负责市场开发资料的编撰，部分PPT的设计和排版；
6、维护原有客户关系，为客户新的需求持续提供相关服务；
7、落实部门交办的其他工作。
任职要求
1、统招本科及以上学历，能源、环境、金融、管理类相关领域专业，具备双碳、ESG、可持续发展、社会责任相关政策和基础知识；
2、三年以上相关市场经验，有电子通信、汽车、新能源产业链相关客户者优先；
3、具备报告和PPT设计、排版、美工技能者优先；
3、具备积极主动热情的工作态度和较强的适应能力以及应变能力。
4、具备团队合作意识，能够承担工作压力。
5、具有较强的学习能力，迅速学习理解各级政策法规和技术规范。
6、良好的英语读写能力优先，熟练使用常用办公软件，具备良好的PPT制作功底。",广州,番禺,广东长正环能科技有限公司,民营,100-299人,咨询服务,企业客户,
